[[-5, -22, -220], [15, -22, -220], [-5, -2, -220], [15, -2, -220], [-5, -22, -200], [15, -22, -200], [-5, -2, -200], [15, -2, -200]]
[[-4, -21, -218], [16, -21, -218], [-4, -1, -218], [16, -1, -218], [-4, -21, -198], [16, -21, -198], [-4, -1, -198], [16, -1, -198]]
[[-4, -21, -215], [16, -21, -215], [-4, -1, -215], [16, -1, -215], [-4, -21, -195], [16, -21, -195], [-4, -1, -195], [16, -1, -195]]
[[-3, -21, -220], [17, -21, -220], [-3, -1, -220], [17, -1, -220], [-3, -21, -200], [17, -21, -200], [-3, -1, -200], [17, -1, -200]]
[[-3, -22, -221], [17, -22, -221], [-3, -2, -221], [17, -2, -221], [-3, -22, -201], [17, -22, -201], [-3, -2, -201], [17, -2, -201]]
[[-3, -22, -229], [17, -22, -229], [-3, -2, -229], [17, -2, -229], [-3, -22, -209], [17, -22, -209], [-3, -2, -209], [17, -2, -209]]
[[-3, -22, -218], [17, -22, -218], [-3, -2, -218], [17, -2, -218], [-3, -22, -198], [17, -22, -198], [-3, -2, -198], [17, -2, -198]]
[[-3, -22, -225], [17, -22, -225], [-3, -2, -225], [17, -2, -225], [-3, -22, -205], [17, -22, -205], [-3, -2, -205], [17, -2, -205]]
[[-2, -24, -265], [18, -24, -265], [-2, -4, -265], [18, -4, -265], [-2, -24, -245], [18, -24, -245], [-2, -4, -245], [18, -4, -245]]
[[-3, -22, -229], [17, -22, -229], [-3, -2, -229], [17, -2, -229], [-3, -22, -209], [17, -22, -209], [-3, -2, -209], [17, -2, -209]]
[[-4, -22, -223], [16, -22, -223], [-4, -2, -223], [16, -2, -223], [-4, -22, -203], [16, -22, -203], [-4, -2, -203], [16, -2, -203]]
[[-5, -21, -220], [15, -21, -220], [-5, -1, -220], [15, -1, -220], [-5, -21, -200], [15, -21, -200], [-5, -1, -200], [15, -1, -200]]
[[-5, -20, -220], [15, -20, -220], [-5, 0, -220], [15, 0, -220], [-5, -20, -200], [15, -20, -200], [-5, 0, -200], [15, 0, -200]]
[[-5, -20, -220], [15, -20, -220], [-5, 0, -220], [15, 0, -220], [-5, -20, -200], [15, -20, -200], [-5, 0, -200], [15, 0, -200]]
[[-5, -21, -226], [15, -21, -226], [-5, -1, -226], [15, -1, -226], [-5, -21, -206], [15, -21, -206], [-5, -1, -206], [15, -1, -206]]
[[-6, -21, -221], [14, -21, -221], [-6, -1, -221], [14, -1, -221], [-6, -21, -201], [14, -21, -201], [-6, -1, -201], [14, -1, -201]]
[[-6, -22, -234], [14, -22, -234], [-6, -2, -234], [14, -2, -234], [-6, -22, -214], [14, -22, -214], [-6, -2, -214], [14, -2, -214]]
[[-6, -22, -220], [14, -22, -220], [-6, -2, -220], [14, -2, -220], [-6, -22, -200], [14, -22, -200], [-6, -2, -200], [14, -2, -200]]
[[-7, -22, -228], [13, -22, -228], [-7, -2, -228], [13, -2, -228], [-7, -22, -208], [13, -22, -208], [-7, -2, -208], [13, -2, -208]]
[[-7, -21, -221], [13, -21, -221], [-7, -1, -221], [13, -1, -221], [-7, -21, -201], [13, -21, -201], [-7, -1, -201], [13, -1, -201]]
[[-7, -22, -229], [13, -22, -229], [-7, -2, -229], [13, -2, -229], [-7, -22, -209], [13, -22, -209], [-7, -2, -209], [13, -2, -209]]
[[-7, -22, -230], [13, -22, -230], [-7, -2, -230], [13, -2, -230], [-7, -22, -210], [13, -22, -210], [-7, -2, -210], [13, -2, -210]]
[[-7, -22, -234], [13, -22, -234], [-7, -2, -234], [13, -2, -234], [-7, -22, -214], [13, -22, -214], [-7, -2, -214], [13, -2, -214]]
[[-7, -22, -230], [13, -22, -230], [-7, -2, -230], [13, -2, -230], [-7, -22, -210], [13, -22, -210], [-7, -2, -210], [13, -2, -210]]
[[-7, -22, -232], [13, -22, -232], [-7, -2, -232], [13, -2, -232], [-7, -22, -212], [13, -22, -212], [-7, -2, -212], [13, -2, -212]]
[[-59, 213, 3593], [-39, 213, 3593], [-59, 233, 3593], [-39, 233, 3593], [-59, 213, 3613], [-39, 213, 3613], [-59, 233, 3613], [-39, 233, 3613]]
[[-8, -21, -223], [12, -21, -223], [-8, -1, -223], [12, -1, -223], [-8, -21, -203], [12, -21, -203], [-8, -1, -203], [12, -1, -203]]
[[-7, -23, -240], [13, -23, -240], [-7, -3, -240], [13, -3, -240], [-7, -23, -220], [13, -23, -220], [-7, -3, -220], [13, -3, -220]]
[[-75, 218, 3593], [-55, 218, 3593], [-75, 238, 3593], [-55, 238, 3593], [-75, 218, 3613], [-55, 218, 3613], [-75, 238, 3613], [-55, 238, 3613]]
[[-7, -23, -245], [13, -23, -245], [-7, -3, -245], [13, -3, -245], [-7, -23, -225], [13, -23, -225], [-7, -3, -225], [13, -3, -225]]
[[-7, -23, -242], [13, -23, -242], [-7, -3, -242], [13, -3, -242], [-7, -23, -222], [13, -23, -222], [-7, -3, -222], [13, -3, -222]]
[[-7, -23, -243], [13, -23, -243], [-7, -3, -243], [13, -3, -243], [-7, -23, -223], [13, -23, -223], [-7, -3, -223], [13, -3, -223]]
[[-7, -23, -243], [13, -23, -243], [-7, -3, -243], [13, -3, -243], [-7, -23, -223], [13, -23, -223], [-7, -3, -223], [13, -3, -223]]
[[-6, -23, -243], [14, -23, -243], [-6, -3, -243], [14, -3, -243], [-6, -23, -223], [14, -23, -223], [-6, -3, -223], [14, -3, -223]]
[[-6, -23, -243], [14, -23, -243], [-6, -3, -243], [14, -3, -243], [-6, -23, -223], [14, -23, -223], [-6, -3, -223], [14, -3, -223]]
[[-6, -23, -243], [14, -23, -243], [-6, -3, -243], [14, -3, -243], [-6, -23, -223], [14, -23, -223], [-6, -3, -223], [14, -3, -223]]
[[-6, -23, -243], [14, -23, -243], [-6, -3, -243], [14, -3, -243], [-6, -23, -223], [14, -23, -223], [-6, -3, -223], [14, -3, -223]]
[[-6, -23, -243], [14, -23, -243], [-6, -3, -243], [14, -3, -243], [-6, -23, -223], [14, -23, -223], [-6, -3, -223], [14, -3, -223]]
[[-5, -23, -243], [15, -23, -243], [-5, -3, -243], [15, -3, -243], [-5, -23, -223], [15, -23, -223], [-5, -3, -223], [15, -3, -223]]
[[-5, -22, -242], [15, -22, -242], [-5, -2, -242], [15, -2, -242], [-5, -22, -222], [15, -22, -222], [-5, -2, -222], [15, -2, -222]]
[[-5, -21, -243], [15, -21, -243], [-5, -1, -243], [15, -1, -243], [-5, -21, -223], [15, -21, -223], [-5, -1, -223], [15, -1, -223]]
[[-4, -23, -252], [16, -23, -252], [-4, -3, -252], [16, -3, -252], [-4, -23, -232], [16, -23, -232], [-4, -3, -232], [16, -3, -232]]
[[-4, -23, -244], [16, -23, -244], [-4, -3, -244], [16, -3, -244], [-4, -23, -224], [16, -23, -224], [-4, -3, -224], [16, -3, -224]]
[[-3, -24, -244], [17, -24, -244], [-3, -4, -244], [17, -4, -244], [-3, -24, -224], [17, -24, -224], [-3, -4, -224], [17, -4, -224]]
[[-3, -24, -254], [17, -24, -254], [-3, -4, -254], [17, -4, -254], [-3, -24, -234], [17, -24, -234], [-3, -4, -234], [17, -4, -234]]
[[-2, -21, -256], [18, -21, -256], [-2, -1, -256], [18, -1, -256], [-2, -21, -236], [18, -21, -236], [-2, -1, -236], [18, -1, -236]]
[[-2, -20, -254], [18, -20, -254], [-2, 0, -254], [18, 0, -254], [-2, -20, -234], [18, -20, -234], [-2, 0, -234], [18, 0, -234]]
[[-278, 47, 3593], [-258, 47, 3593], [-278, 67, 3593], [-258, 67, 3593], [-278, 47, 3613], [-258, 47, 3613], [-278, 67, 3613], [-258, 67, 3613]]
[[-2, -21, -256], [18, -21, -256], [-2, -1, -256], [18, -1, -256], [-2, -21, -236], [18, -21, -236], [-2, -1, -236], [18, -1, -236]]
[[-289, 63, 3593], [-269, 63, 3593], [-289, 83, 3593], [-269, 83, 3593], [-289, 63, 3613], [-269, 63, 3613], [-289, 83, 3613], [-269, 83, 3613]]
[[-2, -22, -256], [18, -22, -256], [-2, -2, -256], [18, -2, -256], [-2, -22, -236], [18, -22, -236], [-2, -2, -236], [18, -2, -236]]
[[-2, -24, -255], [18, -24, -255], [-2, -4, -255], [18, -4, -255], [-2, -24, -235], [18, -24, -235], [-2, -4, -235], [18, -4, -235]]
[[-2, -23, -255], [18, -23, -255], [-2, -3, -255], [18, -3, -255], [-2, -23, -235], [18, -23, -235], [-2, -3, -235], [18, -3, -235]]
[[75, -33, -633], [95, -33, -633], [75, -13, -633], [95, -13, -633], [75, -33, -613], [95, -33, -613], [75, -13, -613], [95, -13, -613]]
[[-2, -22, -256], [18, -22, -256], [-2, -2, -256], [18, -2, -256], [-2, -22, -236], [18, -22, -236], [-2, -2, -236], [18, -2, -236]]
[[-2, -22, -255], [18, -22, -255], [-2, -2, -255], [18, -2, -255], [-2, -22, -235], [18, -22, -235], [-2, -2, -235], [18, -2, -235]]
[[-2, -21, -256], [18, -21, -256], [-2, -1, -256], [18, -1, -256], [-2, -21, -236], [18, -21, -236], [-2, -1, -236], [18, -1, -236]]
[[-294, 85, 3593], [-274, 85, 3593], [-294, 105, 3593], [-274, 105, 3593], [-294, 85, 3613], [-274, 85, 3613], [-294, 105, 3613], [-274, 105, 3613]]
[[-2, -21, -257], [18, -21, -257], [-2, -1, -257], [18, -1, -257], [-2, -21, -237], [18, -21, -237], [-2, -1, -237], [18, -1, -237]]
[[75, -28, -542], [95, -28, -542], [75, -8, -542], [95, -8, -542], [75, -28, -522], [95, -28, -522], [75, -8, -522], [95, -8, -522]]
[[68, -28, -482], [88, -28, -482], [68, -8, -482], [88, -8, -482], [68, -28, -462], [88, -28, -462], [68, -8, -462], [88, -8, -462]]
