[[-5, -22, -221], [15, -22, -221], [-5, -2, -221], [15, -2, -221], [-5, -22, -201], [15, -22, -201], [-5, -2, -201], [15, -2, -201]]
[[-4, -22, -221], [16, -22, -221], [-4, -2, -221], [16, -2, -221], [-4, -22, -201], [16, -22, -201], [-4, -2, -201], [16, -2, -201]]
[[-4, -22, -221], [16, -22, -221], [-4, -2, -221], [16, -2, -221], [-4, -22, -201], [16, -22, -201], [-4, -2, -201], [16, -2, -201]]
[[-3, -22, -221], [17, -22, -221], [-3, -2, -221], [17, -2, -221], [-3, -22, -201], [17, -22, -201], [-3, -2, -201], [17, -2, -201]]
[[-2, -22, -221], [18, -22, -221], [-2, -2, -221], [18, -2, -221], [-2, -22, -201], [18, -22, -201], [-2, -2, -201], [18, -2, -201]]
[[-2, -22, -223], [18, -22, -223], [-2, -2, -223], [18, -2, -223], [-2, -22, -203], [18, -22, -203], [-2, -2, -203], [18, -2, -203]]
[[-2, -22, -223], [18, -22, -223], [-2, -2, -223], [18, -2, -223], [-2, -22, -203], [18, -22, -203], [-2, -2, -203], [18, -2, -203]]
[[-1, -22, -224], [19, -22, -224], [-1, -2, -224], [19, -2, -224], [-1, -22, -204], [19, -22, -204], [-1, -2, -204], [19, -2, -204]]
[[-1, -22, -231], [19, -22, -231], [-1, -2, -231], [19, -2, -231], [-1, -22, -211], [19, -22, -211], [-1, -2, -211], [19, -2, -211]]
[[-1, -22, -232], [19, -22, -232], [-1, -2, -232], [19, -2, -232], [-1, -22, -212], [19, -22, -212], [-1, -2, -212], [19, -2, -212]]
[[-1, -22, -231], [19, -22, -231], [-1, -2, -231], [19, -2, -231], [-1, -22, -211], [19, -22, -211], [-1, -2, -211], [19, -2, -211]]
[[-1, -22, -230], [19, -22, -230], [-1, -2, -230], [19, -2, -230], [-1, -22, -210], [19, -22, -210], [-1, -2, -210], [19, -2, -210]]
[[-1, -22, -229], [19, -22, -229], [-1, -2, -229], [19, -2, -229], [-1, -22, -209], [19, -22, -209], [-1, -2, -209], [19, -2, -209]]
[[-1, -22, -229], [19, -22, -229], [-1, -2, -229], [19, -2, -229], [-1, -22, -209], [19, -22, -209], [-1, -2, -209], [19, -2, -209]]
[[-2, -21, -229], [18, -21, -229], [-2, -1, -229], [18, -1, -229], [-2, -21, -209], [18, -21, -209], [-2, -1, -209], [18, -1, -209]]
[[-2, -21, -228], [18, -21, -228], [-2, -1, -228], [18, -1, -228], [-2, -21, -208], [18, -21, -208], [-2, -1, -208], [18, -1, -208]]
[[-2, -21, -229], [18, -21, -229], [-2, -1, -229], [18, -1, -229], [-2, -21, -209], [18, -21, -209], [-2, -1, -209], [18, -1, -209]]
[[-3, -21, -228], [17, -21, -228], [-3, -1, -228], [17, -1, -228], [-3, -21, -208], [17, -21, -208], [-3, -1, -208], [17, -1, -208]]
[[-3, -21, -229], [17, -21, -229], [-3, -1, -229], [17, -1, -229], [-3, -21, -209], [17, -21, -209], [-3, -1, -209], [17, -1, -209]]
[[-3, -21, -228], [17, -21, -228], [-3, -1, -228], [17, -1, -228], [-3, -21, -208], [17, -21, -208], [-3, -1, -208], [17, -1, -208]]
[[-4, -21, -228], [16, -21, -228], [-4, -1, -228], [16, -1, -228], [-4, -21, -208], [16, -21, -208], [-4, -1, -208], [16, -1, -208]]
[[-4, -21, -229], [16, -21, -229], [-4, -1, -229], [16, -1, -229], [-4, -21, -209], [16, -21, -209], [-4, -1, -209], [16, -1, -209]]
[[-4, -22, -230], [16, -22, -230], [-4, -2, -230], [16, -2, -230], [-4, -22, -210], [16, -22, -210], [-4, -2, -210], [16, -2, -210]]
