Kalman: No, Frame: 5, Points: [[-12, -22, -212], [8, -22, -212], [-12, -2, -212], [8, -2, -212], [-12, -22, -192], [8, -22, -192], [-12, -2, -192], [8, -2, -192]]
Kalman: No, Frame: 5, Points: [[78, -25, -295], [98, -25, -295], [78, -5, -295], [98, -5, -295], [78, -25, -275], [98, -25, -275], [78, -5, -275], [98, -5, -275]]
Kalman: No, Frame: 5, Points: [[116, -26, -311], [136, -26, -311], [116, -6, -311], [136, -6, -311], [116, -26, -291], [136, -26, -291], [116, -6, -291], [136, -6, -291]]
Kalman: Yes, Frame: 6, Points: [[74, -25, -267], [94, -25, -267], [74, -5, -267], [94, -5, -267], [74, -25, -247], [94, -25, -247], [74, -5, -247], [94, -5, -247]]
Kalman: Yes, Frame: 6, Points: [[-11, -22, -213], [9, -22, -213], [-11, -2, -213], [9, -2, -213], [-11, -22, -193], [9, -22, -193], [-11, -2, -193], [9, -2, -193]]
Kalman: Yes, Frame: 6, Points: [[118, -26, -295], [138, -26, -295], [118, -6, -295], [138, -6, -295], [118, -26, -275], [138, -26, -275], [118, -6, -275], [138, -6, -275]]
Kalman: No, Frame: 6, Points: [[75, -24, -267], [95, -24, -267], [75, -4, -267], [95, -4, -267], [75, -24, -247], [95, -24, -247], [75, -4, -247], [95, -4, -247]]
Kalman: No, Frame: 6, Points: [[-12, -22, -212], [8, -22, -212], [-12, -2, -212], [8, -2, -212], [-12, -22, -192], [8, -22, -192], [-12, -2, -192], [8, -2, -192]]
Kalman: No, Frame: 6, Points: [[121, -26, -304], [141, -26, -304], [121, -6, -304], [141, -6, -304], [121, -26, -284], [141, -26, -284], [121, -6, -284], [141, -6, -284]]
Kalman: Yes, Frame: 7, Points: [[71, -24, -238], [91, -24, -238], [71, -4, -238], [91, -4, -238], [71, -24, -218], [91, -24, -218], [71, -4, -218], [91, -4, -218]]
Kalman: Yes, Frame: 7, Points: [[114, -26, -271], [134, -26, -271], [114, -6, -271], [134, -6, -271], [114, -26, -251], [134, -26, -251], [114, -6, -251], [134, -6, -251]]
Kalman: Yes, Frame: 7, Points: [[-11, -22, -213], [9, -22, -213], [-11, -2, -213], [9, -2, -213], [-11, -22, -193], [9, -22, -193], [-11, -2, -193], [9, -2, -193]]
Kalman: No, Frame: 7, Points: [[71, -24, -238], [91, -24, -238], [71, -4, -238], [91, -4, -238], [71, -24, -218], [91, -24, -218], [71, -4, -218], [91, -4, -218]]
Kalman: No, Frame: 7, Points: [[112, -25, -269], [132, -25, -269], [112, -5, -269], [132, -5, -269], [112, -25, -249], [132, -25, -249], [112, -5, -249], [132, -5, -249]]
Kalman: No, Frame: 7, Points: [[-10, -22, -214], [10, -22, -214], [-10, -2, -214], [10, -2, -214], [-10, -22, -194], [10, -22, -194], [-10, -2, -194], [10, -2, -194]]
Kalman: Yes, Frame: 8, Points: [[112, -25, -248], [132, -25, -248], [112, -5, -248], [132, -5, -248], [112, -25, -228], [132, -25, -228], [112, -5, -228], [132, -5, -228]]
Kalman: Yes, Frame: 8, Points: [[70, -24, -209], [90, -24, -209], [70, -4, -209], [90, -4, -209], [70, -24, -189], [90, -24, -189], [70, -4, -189], [90, -4, -189]]
Kalman: Yes, Frame: 8, Points: [[-10, -23, -215], [10, -23, -215], [-10, -3, -215], [10, -3, -215], [-10, -23, -195], [10, -23, -195], [-10, -3, -195], [10, -3, -195]]
